quarter,ticker,event_date,event_accession,revenue_bucket,revenue_value,net_income_value,assets_value,financing_cash_flow_value,investing_cash_flow_value,operating_cash_flow_value,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,quarter_revenue_qoq_pct,guidance_revenue_millions,guidance_gross_margin_pct,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,primary_text_len,exhibit_text_len,json_path,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,A,2024-08-21,0001090872-24-000024,$2B-$10B,3473000000,654000000,10763000000,-407000000,-181000000,694000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct,regex_fallback,1580,,,1641,,6,6,6,6,5275,23681,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/A/A_2024-08-21_000109087224000024.json,2024-08-22,145.380005,-4.4160,-4.5949,-3.8451,-5.9293,-11.5628
2024Q3,AAP,2024-08-22,0001158449-24-000192,$2B-$10B,3417594000,48323000,12276326000,-425202000,-89671000,-382524000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2700,,,,,6,3,6,5,3605,20771,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/AAP/AAP_2024-08-22_000115844924000192.json,2024-08-23,51.299999,-14.7758,-23.0409,-20.9162,-24.4639,-24.5809
2024Q3,AAT,2024-07-30,0001500217-24-000043,$100M-$500M,107754000,20666000,2984681000,11485000,-25695000,51967000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,6,6,6,95247,30180,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/AAT/AAT_2024-07-30_000150021724000043.json,2024-07-31,25.980000,-5.8891,-1.3472,4.8884,2.8483,5.2348
2024Q3,ABG,2024-08-02,0001144980-24-000127,$2B-$10B,3582300000,181400000,10159400000,-55000000,-55200000,171700000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,4200,,,,,6,3,6,6,3494,32840,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/ABG/ABG_2024-08-02_000114498024000127.json,2024-08-05,220.820007,5.0584,10.5244,5.8419,4.9814,7.3182
2024Q3,ABM,2024-09-06,0000950170-24-104226,$2B-$10B,3975300000,90400000,4933700000,62800000,-22200000,-45000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2100,,,,,6,6,6,6,3339,32676,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/ABM/ABM_2024-09-06_000095017024104226.json,2024-09-09,51.610001,0.4263,2.2282,1.8020,11.8582,10.1143
2024Q3,ABNB,2024-08-06,0001193125-24-194849,$1B-$2B,1818000000,117000000,20645000000,2286000000,-183000000,1587000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2750,,,,,6,6,6,6,3907,53078,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/ABNB/ABNB_2024-08-06_000119312524194849.json,2024-08-07,112.440002,5.9587,3.8243,1.6364,15.8218,22.5720
2024Q3,ACA,2024-08-01,0001739445-24-000111,$500M-$1B,549200000,55700000,3577900000,-4400000,-34100000,27300000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2600,,,,,6,6,6,6,13994,32627,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/ACA/ACA_2024-08-01_000173944524000111.json,2024-08-02,86.160004,-5.4898,1.3928,0.0812,8.2869,8.6815
2024Q3,ACAD,2024-08-06,0000950170-24-091826,$100M-$500M,118462000,-43021000,748956000,1466000,192518000,-17933000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,242,,,,,6,6,6,6,3506,14545,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/ACAD/ACAD_2024-08-06_000095017024091826.json,2024-08-07,15.400000,2.3377,2.2727,4.3506,-4.3506,-2.5974
2024Q3,ACCO,2024-08-01,0000950170-24-089332,$100M-$500M,402600000,-3700000,2644800000,88200000,-2000000,-23200000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,438,,,,,6,6,6,6,3583,35219,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/ACCO/ACCO_2024-08-01_000095017024089332.json,2024-08-02,4.850000,-2.2680,7.8351,10.9278,10.5155,1.0309
2024Q3,ACDC,2024-08-08,0001104659-24-086919,$500M-$1B,857500000,22000000,3070700000,327100000,-525800000,233500000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,579.4,,,,,6,6,6,6,4197,26520,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_smoke/ACDC/ACDC_2024-08-08_000110465924086919.json,2024-08-09,6.110000,7.8560,10.8020,4.0917,17.8396,16.8576
